Epoch,Inc_Validation Accuracy,Inc_Validationl Loss,Inc_Train Loss,Inc_Train Accuracy,Inc_Training Time,eb4_Validation Accuracy,eb4_Validation Loss,eb4_Train Loss,eb4_Train Accuracy,eb4_Training Time (sec),d121_Validation Accuracy,d121_Validation Loss,d121_Train Loss,d121_Train Accuracy,d121_Training Time (sec),r50_Validation Accuracy,r50_Validation Loss,r50_Train Loss,r50_Train Accuracy,r50_Training Time (sec),mob_Validation Accuracy,mob_Validation Loss,mob_Train Loss,mob_Train Accuracy,mob_Training Time (sec),,
17,0.888714731,0.430571407,0.541436493,0.820107579,88.4092083,0.250783712,2.209588528,2.308258533,0.2131809,86.28109145,0.896551728,0.353974789,0.462223053,0.859112322,89.21986628,0.371473342,1.950161815,2.088924885,0.296906531,104.2461839,0.904389,0.340117,0.383396,0.881305,106.066725,,
18,0.898119152,0.421602547,0.528687656,0.823806345,87.68123531,0.280564249,2.199146271,2.309529543,0.200067252,90.30130315,0.905956089,0.342373073,0.467134655,0.854068577,90.35304832,0.37931034,1.933823586,2.075766563,0.312710166,104.2933762,0.902821,0.347669,0.382258,0.879623,104.777544,,
19,0.894984305,0.41745913,0.500512421,0.841963708,87.12764001,0.299373031,2.194218159,2.311809301,0.203765973,87.89177179,0.907523513,0.327303052,0.454563946,0.859112322,89.95869112,0.398119122,1.932442307,2.068179846,0.307330191,102.6149683,0.904389,0.326244,0.36441,0.88265,105.700441,,
20,0.882445157,0.416384518,0.482682735,0.843308687,86.55992341,0.261755496,2.191406727,2.314971209,0.198049769,87.52480435,0.907523513,0.31959337,0.4402439,0.867182255,89.82477617,0.398119122,1.903272152,2.065564394,0.313046396,105.8039298,0.909091,0.31813,0.359763,0.892737,104.437849,,
21,0.890282154,0.400114626,0.480111748,0.847343624,86.0507617,0.275862068,2.181570292,2.304356575,0.20780094,91.7555654,0.9106583,0.314378977,0.424939364,0.865164757,89.56559515,0.382445127,1.904522657,2.048047781,0.318426371,106.2302344,0.909091,0.316805,0.337934,0.892401,104.181556,,
22,0.888714731,0.396115392,0.467264384,0.848352373,86.35119438,0.278996855,2.173819065,2.302468777,0.20712845,86.49300671,0.907523513,0.314604223,0.414072037,0.873570919,89.44107318,0.396551728,1.897158861,2.043450594,0.318426371,106.0219505,0.910658,0.309876,0.330646,0.901479,104.20521,,
23,0.905956089,0.380824059,0.44841978,0.855749846,86.05006337,0.264890283,2.18419075,2.297456503,0.222259581,86.48454237,0.91536051,0.294453561,0.38000524,0.883994639,88.72784495,0.413793117,1.892108202,2.023379564,0.327168792,105.2846706,0.916928,0.300616,0.323303,0.898453,103.896476,,
24,0.904388726,0.374189407,0.451943547,0.857767344,85.61375308,0.261755496,2.172781229,2.294351101,0.200403497,85.92396116,0.916927874,0.286729902,0.365656197,0.888365865,89.55014801,0.402821302,1.876451492,2.009554386,0.334902495,104.2041979,0.915361,0.296514,0.309748,0.899126,103.413744,,
25,0.909090936,0.362446815,0.427153617,0.862474799,86.32204008,0.257053286,2.171145916,2.288739443,0.212172166,86.23451161,0.91536051,0.286479235,0.358536303,0.886684597,89.9415853,0.404388726,1.874331713,2.004597902,0.341627449,101.7990701,0.915361,0.30269,0.307198,0.903161,103.642679,,
26,0.913793087,0.361503005,0.430690646,0.856086075,86.3102088,0.252351105,2.177667141,2.28100419,0.216207132,86.05497265,0.912225723,0.274836808,0.363231122,0.88298589,89.45582843,0.427899688,1.869579911,2.002511501,0.331203759,97.97717595,0.913793,0.296952,0.295246,0.903497,104.555841,,
